batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,n_unique_users,window_unique_users,window_unique_untrained_users,n_users_trained
84,84000,0.01912568306010929,0.002185792349726776,0.01030580584062065,0.008735440931780365,0.0009983361064891847,0.004668281115533838,0.011160714285714286,0.0012755102040816326,0.005984182932741602,0.6033163265306123,473,739,556,601,0.7665816326530612,784,3068,2339,65679
85,85000,0.024074074074074074,0.003888888888888889,0.01129614859690584,0.006836158192090395,0.0010169491525423731,0.005053656881420001,0.010865800865800867,0.0016883116883116887,0.006512940659066042,0.6246753246753247,481,737,572,590,0.7662337662337663,770,3793,2897,65679
86,86000,0.023076923076923078,0.0030769230769230774,0.010672667761199479,0.008227848101265823,0.0011075949367088608,0.004549014499119088,0.011729141475211608,0.001571946795646917,0.005992923067566097,0.592503022974607,490,751,566,632,0.7642079806529625,827,4549,3490,65679
87,87000,0.017068273092369475,0.0024096385542168677,0.009858523101443872,0.008168442415017758,0.0013698630136986304,0.0035336797942115044,0.009963547995139732,0.0015795868772782503,0.0048094076058768425,0.6281895504252734,517,792,621,657,0.7982989064398542,823,5298,4101,65679
88,88000,0.010447761194029851,0.0024875621890547263,0.005932957157586817,0.007611548556430447,0.0011023622047244095,0.005177606158846791,0.008293460925039872,0.0014354066985645933,0.005359215669309405,0.5873205741626795,491,738,561,635,0.7595693779904307,836,6047,4683,65679
89,89000,0.00718562874251497,0.0011976047904191617,0.0026746703850183866,0.007107843137254903,0.0008823529411764707,0.0025737693887807594,0.007123179850452578,0.0009445100354191264,0.002593663682017694,0.6694214876033058,567,781,640,680,0.8028335301062574,847,6826,5322,65679
90,90000,0.013513513513513514,0.0016216216216216218,0.009288688847665752,0.0014925373134328358,0.00014925373134328358,0.00043144003928042966,0.004093567251461989,0.00046783625730994154,0.0023479207755977218,0.6549707602339181,560,762,629,670,0.783625730994152,855,7603,5954,65679
91,91000,0.011994949494949494,0.0035353535353535356,0.009648762123998397,0.0036115569823434992,0.0004815409309791333,0.0023307377430044724,0.005633373934226553,0.001218026796589525,0.0040956206022453945,0.6199756394640682,509,727,601,623,0.758830694275274,821,8350,6539,65679
92,92000,0.014184397163120567,0.0026595744680851063,0.006077936592089799,0.0027602523659305996,0.0004731861198738171,0.001125663727818552,0.005373073803730737,0.00097323600973236,0.002258300343977913,0.6180048661800487,508,739,590,634,0.7712895377128953,822,9088,7138,65679
93,93000,0.02556818181818182,0.002840909090909091,0.015834566733985315,0.008888888888888889,0.000888888888888889,0.00505144690519886,0.012338425381903642,0.001292596944770858,0.0072815633445248475,0.618096357226792,526,795,592,675,0.7931844888366627,851,9829,7741,65679
