batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
34,34000,0.0146688264938804,0.0034557235421166,0.0098595614234394,0.0,0.0,0.0,0.0095522737927801,0.0022503516174402,0.0064205020239837,0.170182841068917,121,351,711,7325,65679,182,248,0.3488045007032349,2568
35,35000,0.0246624022743425,0.0031982942430703,0.0129895641283786,0.0,0.0,0.0,0.0162681669010782,0.0021097046413502,0.0085683622731499,0.1462728551336146,104,353,711,7747,65679,151,242,0.340365682137834,2702
36,36000,0.024492164901151,0.0039170506912442,0.013342988749744,0.0014880952380952,0.0004464285714285,0.0020949943126015,0.016660992249898,0.0027355623100303,0.009513884260504,0.1610942249240121,106,362,658,8086,65679,179,224,0.3404255319148936,2833
37,37000,0.0335390946502057,0.0051440329218107,0.0174265468520636,0.003486750348675,0.001255230125523,0.0023859946592637,0.0236321839080459,0.0038620689655172,0.0124683510257475,0.1682758620689655,122,352,725,8491,65679,176,239,0.3296551724137931,2984
38,38000,0.0262285511219413,0.0036247334754797,0.0137745231308184,0.0026004728132387,0.0012765957446808,0.0020776597344149,0.0183413374819624,0.002840909090909,0.0098700303777576,0.1463068181818181,103,375,704,8856,65679,183,235,0.3338068181818182,3118
39,39000,0.0221146272274091,0.0035164835164835,0.0116778987342829,0.0,0.0,0.0,0.0140532896487027,0.0022346368715083,0.007421011067177,0.1550279329608938,111,359,716,9229,65679,155,261,0.3645251396648045,3264
40,40000,0.0279347002889119,0.0047516198704103,0.0128694441096554,0.0074525745257452,0.0016260162601626,0.0051370230784529,0.0208280670904084,0.0036671368124118,0.0101865448520026,0.159379407616361,113,368,709,9609,65679,187,246,0.3469675599435825,3412
41,41000,0.0251905751905751,0.0033264033264033,0.0119594482597742,0.0043290043290043,0.0007936507936507,0.0042311675533904,0.0180185208152466,0.0024556616643929,0.0093025222870474,0.1637107776261937,120,369,733,733,65679,194,252,0.34379263301500684,252
42,42000,0.015261958997722,0.0020501138952164,0.0057772971236275,0.0047709923664122,0.0011450381679389,0.0021570761929885,0.0113409415121255,0.0017118402282453,0.004424233095343,0.1768901569186876,124,418,701,1372,65679,204,262,0.37375178316690444,486
43,43000,0.0273096821877309,0.0035476718403547,0.0167145033332759,0.0009716506630086,0.0008230452674897,0.0013633383507784,0.0180875760486711,0.0025936599423631,0.0113393836059749,0.1440922190201729,100,365,694,1977,65679,155,243,0.35014409221902015,695
44,44000,0.0287114845938375,0.003781512605042,0.016548921612348,0.0048780487804878,0.0008130081300813,0.0025537602910223,0.0205909510618651,0.002770083102493,0.0117804871455251,0.1523545706371191,110,349,722,2570,65679,169,246,0.3407202216066482,897
45,45000,0.031275221953188,0.0048426150121065,0.0169268433995779,0.0018595041322314,0.0008264462809917,0.0019392020190261,0.0204071246819338,0.0033587786259541,0.0113894247521068,0.1694656488549618,111,401,655,3096,65679,168,242,0.36946564885496186,1094
46,46000,0.0257303370786516,0.0044943820224719,0.016876161304449,0.0160690571049136,0.0023904382470119,0.0058568617934832,0.0222461685823754,0.003735632183908,0.0129022472566726,0.160919540229885,112,376,696,3613,65679,169,251,0.36063218390804597,1281
47,47000,0.0324726134585289,0.0039906103286384,0.0153108335900153,0.0077220077220077,0.0015444015444015,0.0047073942792741,0.0231143552311435,0.0030656934306569,0.0113016499674139,0.1576642335766423,108,432,685,4114,65679,187,259,0.3781021897810219,1466
48,48000,0.0251046025104602,0.0031380753138075,0.01283768423473,0.0003192848020434,0.0003831417624521,0.0003262188415387,0.0163509246729815,0.0021650879566982,0.008418885225768,0.1407307171853856,104,365,739,4627,65679,162,261,0.3531799729364005,1649
