batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,content_seed_emissions_mg
56,56000,0.03193401705087629,0.021428571428571432,0.0348619732152626,0.16071428571428573,0.08193027210884353,0.02046783625730994,0.005263157894736843,0.01880586374335703,0.05263157894736842,0.03216374269005848,0.028066725303933792,0.015976331360946748,0.029446599014679067,0.1242603550295858,0.06514511129895745,57,0.33727810650887574,59868,31.428718468830407
57,57000,0.03159259811642888,0.02285714285714286,0.028560840719396255,0.18095238095238095,0.060181405895691605,0.02619047619047619,0.007142857142857143,0.014822047268308238,0.07142857142857142,0.017976190476190475,0.02943174934604781,0.01657142857142857,0.02306532333896105,0.13714285714285715,0.04329931972789115,70,0.4,59868,32.99874131137299
58,58000,0.024457557720149684,0.018018018018018018,0.020710505778760768,0.15315315315315314,0.037923637923637926,0.006802721088435374,0.0020408163265306124,0.009577116857607273,0.02040816326530612,0.02040816326530612,0.019050764001687176,0.013125000000000001,0.017300905421657513,0.1125,0.0325595238095238,48,0.3,59868,30.988595855138783
59,59000,0.02836316559720815,0.01347517730496454,0.025481002035606458,0.1347517730496454,0.05646740965889901,0.02564102564102564,0.006153846153846154,0.011484785364758644,0.046153846153846156,0.007838827838827838,0.027504237941131146,0.01116504854368932,0.021064720076358366,0.10679611650485436,0.04112343966712899,65,0.3155339805825243,59868,32.35321880793665
60,60000,0.0310150976099252,0.019819819819819826,0.03332947590863617,0.15315315315315314,0.07102102102102102,0.03333333333333333,0.00909090909090909,0.02127360051375014,0.07272727272727272,0.02727272727272727,0.03178318775924717,0.016265060240963858,0.02933505936213779,0.12650602409638553,0.056526104417670676,55,0.3313253012048193,59868,31.80392422866646
61,61000,0.026476830022338225,0.02149532710280374,0.026921657156171813,0.17757009345794392,0.05417593828808782,0.007246376811594202,0.002173913043478261,0.006436563281866635,0.021739130434782608,0.010869565217391304,0.020695125135447863,0.015686274509803925,0.020762740043635614,0.13071895424836602,0.04115572154787841,46,0.3006535947712418,59868,30.23284482155668
62,62000,0.019127651060424168,0.012605042016806723,0.01818693047715915,0.11764705882352941,0.041023075897025474,0.01366120218579235,0.004918032786885246,0.009628862977169634,0.04918032786885246,0.014344262295081968,0.017275132275132273,0.01,0.015286696491051592,0.09444444444444444,0.03198192239858906,61,0.3388888888888889,59868,32.51483608778877
63,63000,0.03821748784984079,0.02448979591836735,0.04056679119185903,0.1836734693877551,0.08664965986394557,0.0196078431372549,0.00392156862745098,0.009301871088992008,0.0392156862745098,0.00784313725490196,0.03184774368647247,0.017449664429530203,0.02986537558617971,0.1342281879194631,0.059675615212527955,51,0.3422818791946309,59868,31.143069361916023
64,64000,0.03286876237457633,0.020833333333333332,0.03635208718939431,0.18333333333333332,0.08923280423280423,0.022727272727272724,0.006060606060606061,0.022213258451910835,0.06060606060606061,0.037121212121212124,0.02927016927392021,0.015591397849462365,0.03133508344383566,0.13978494623655913,0.07074159412869091,66,0.3548387096774194,59868,32.47304980709787
65,65000,0.03212881926964334,0.018487394957983194,0.026628545848009277,0.16806722689075632,0.0528578097905829,0.015625,0.004687500000000001,0.009551301897109376,0.046875,0.012369791666666666,0.02635699176550578,0.01366120218579235,0.0206561763788421,0.12568306010928962,0.038698065747246074,64,0.34972677595628415,59868,33.143460460734666
