batch,interactions,strategy,recall_at_10,ndcg_at_10,hr_at_10,recall_at_20,ndcg_at_20,hr_at_20,mrr,update_energy_uwh,updated
154,154000,no_update,0.06396345060262303,0.1499173619520838,0.47368421052631576,0.11612481601519409,0.16146217358787268,0.5526315789473685,0.30963417545827515,0.0,False
155,155000,no_update,0.0577530715885507,0.08325013386999032,0.4444444444444444,0.11194653841273647,0.1088813453207449,0.7111111111111111,0.19311815635345048,0.0,False
156,156000,no_update,0.07969259821456555,0.11843870152093776,0.5428571428571428,0.130663369615647,0.13576538852419506,0.6571428571428571,0.21280845671601972,0.0,False
157,157000,no_update,0.08911440600721413,0.1404471607959711,0.6,0.13915379130039449,0.14480823852994845,0.7,0.2925431951089846,0.0,False
158,158000,no_update,0.04645163101784334,0.07312589607319497,0.3695652173913043,0.08853519466674722,0.08664627506962994,0.6304347826086957,0.1590355944029049,0.0,False
159,159000,no_update,0.06774344657954023,0.16082750666923648,0.6153846153846154,0.12077798021368426,0.15562741606096156,0.7692307692307693,0.33845321345321344,0.0,False
160,160000,no_update,0.06881325783069836,0.11486632201423036,0.5675675675675675,0.10037745233335675,0.12204136570711555,0.7297297297297297,0.22303873422294476,0.0,False
161,161000,no_update,0.05288683425711027,0.1061841087475437,0.41935483870967744,0.09370172153703601,0.11886880122768205,0.6451612903225806,0.20133006024347277,0.0,False
162,162000,no_update,0.07055820605633019,0.12260192461084544,0.5882352941176471,0.12476808544422816,0.13184583142586137,0.7941176470588235,0.2338892574573689,0.0,False
163,163000,no_update,0.08286148952861129,0.15209419209404693,0.6052631578947368,0.13935588608955646,0.15883929258865193,0.7631578947368421,0.29880886657202443,0.0,False
164,164000,no_update,0.047771291793658396,0.07304787938656046,0.525,0.11324535942344234,0.1006804604624623,0.775,0.19815544287583758,0.0,False
165,165000,no_update,0.11414933072499175,0.13638794044296637,0.5681818181818182,0.164930811105753,0.15558120406267664,0.6818181818181818,0.23062463519999407,0.0,False
166,166000,no_update,0.08533615448875566,0.1382915199162291,0.6666666666666666,0.12515245518982454,0.1363190431677212,0.7222222222222222,0.2623427611785455,0.0,False
167,167000,no_update,0.10689792200114678,0.12268234857633022,0.5116279069767442,0.16563339594663692,0.14239602802903512,0.6976744186046512,0.22801788954319727,0.0,False
168,168000,no_update,0.07615915121376046,0.14320736086925787,0.5789473684210527,0.1164068780936882,0.13996300304318507,0.7368421052631579,0.28057091257555655,0.0,False
169,169000,no_update,0.04601083176277325,0.1268205974168943,0.5833333333333334,0.06798284247972555,0.11269724760535242,0.6666666666666666,0.27298976608187137,0.0,False
1,1000,incremental,0.05513505485945336,0.12031361844656975,0.5555555555555556,0.08380334089102677,0.12325311609945944,0.6666666666666666,0.23925977798526818,0.0,False
2,2000,incremental,0.0773859319774522,0.1073293465085967,0.5,0.11883097388222208,0.12232321823206448,0.6666666666666666,0.24924722414218212,0.0,False
3,3000,incremental,0.04665526984228189,0.13746286707128416,0.48484848484848486,0.06807987395938575,0.12213992265154613,0.6060606060606061,0.24757290639643578,0.0,False
4,4000,incremental,0.07163121994360878,0.1498620344832649,0.5135135135135135,0.11684072035815535,0.14925353835438243,0.7027027027027027,0.28257249228611453,0.0,False
5,5000,incremental,0.06402803196482891,0.21328231721680255,0.6538461538461539,0.10238411606690495,0.19822096135534514,0.8461538461538461,0.4136427674889213,0.0,False
6,6000,incremental,0.0752500052351872,0.126034761417777,0.5405405405405406,0.1331313440162844,0.14119841692640994,0.7567567567567568,0.25905025905025897,0.0,False
7,7000,incremental,0.04612688159297531,0.11740022599287678,0.5625,0.07816544883384055,0.11033601956977439,0.625,0.22435628607503605,0.0,False
8,8000,incremental,0.05955892041606778,0.10741684599784032,0.5,0.0868946063748456,0.10526269784789206,0.6470588235294118,0.21404619202606817,0.0,False
9,9000,incremental,0.07721377953601685,0.11071669234068533,0.5555555555555556,0.16332937120414473,0.1454870975454103,0.75,0.2487845601203444,0.0,False
10,10000,incremental,0.08734967377276638,0.14597740273653376,0.6071428571428571,0.11082787124005086,0.14190827680803259,0.6785714285714286,0.29342185592185593,0.0,False
11,11000,incremental,0.057335490684827864,0.12439922038408735,0.5625,0.10528497727372985,0.12659476921252397,0.6875,0.25769898504273503,0.0,False
