batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained
122,122000,0.03299837065295129,0.023170731707317073,0.026564440914494176,0.024679412320798996,0.09166666666666667,0.09367374692448589,0.03193637597225099,0.031914893617021274,0.035131586362578224,0.02127659574468085,2,181,94,130,5328
123,123000,0.041869741979632086,0.026373626373626374,0.039524976982882896,0.09401709401709403,0.04615384615384615,0.050134588164339584,0.04838816098431483,0.028846153846153848,0.04085117838056497,0.0,0,85,104,198,5328
124,124000,0.06382009867351372,0.0326530612244898,0.05271526939458327,0.017759330211437493,0.03333333333333333,0.041158014776324955,0.056672738050088094,0.032758620689655175,0.05092190229864663,0.0,0,138,116,257,5328
125,125000,0.04520536108973298,0.03580246913580247,0.05295727407327657,0.028326873385012916,0.041666666666666664,0.05488140183831469,0.04302749170847877,0.03655913978494624,0.05320554862360407,0.0,0,99,93,297,5328
126,126000,0.027332097346488792,0.02291666666666667,0.02677922804988848,0.07058823529411765,0.023529411764705882,0.04817180063766965,0.03383965792268074,0.023008849557522124,0.029997579678138743,0.0,0,76,113,341,5328
127,127000,0.044109087521190485,0.03333333333333333,0.04885018993555431,0.040782616076733724,0.07499999999999998,0.08836400376000443,0.04321004118485082,0.04459459459459459,0.05952959907729759,0.013513513513513514,1,311,74,369,5328
128,128000,0.038504095383386006,0.027631578947368424,0.040662358266730834,0.06628117913832199,0.08181818181818183,0.09614709671962678,0.04473976724673898,0.039795918367346944,0.05311811587860543,0.0,0,324,98,402,5328
129,129000,0.02871685647079825,0.019000000000000003,0.02586820963606286,0.06136752136752137,0.09333333333333332,0.11574968095837693,0.0329756388486317,0.028695652173913046,0.03759187980853861,0.0,0,205,115,436,5328
130,130000,0.021349560961655367,0.029670329670329672,0.04166667329608025,0.004830917874396135,0.022222222222222223,0.03498668118529233,0.019862883083802036,0.029000000000000005,0.04106547400610934,0.0,0,66,100,466,5328
131,131000,0.0418201716040407,0.025263157894736845,0.03762919567818341,0.06314142036124794,0.10833333333333334,0.1410094913120423,0.04421133968896114,0.034579439252336454,0.049223247524971314,0.0,0,391,107,493,5328
132,132000,0.03398942059731735,0.029870129870129873,0.038172864561844065,0.03611111111111111,0.025000000000000005,0.0349470439941233,0.03427549122839066,0.029213483146067417,0.037737922462825535,0.0,0,124,89,512,5328
133,133000,0.046784127105453585,0.02989690721649485,0.04253812401365873,0.015985060690943045,0.04,0.04310492025045587,0.042659252139224495,0.03125,0.04261403422394406,0.0,0,194,112,541,5328
134,134000,0.048646105922491384,0.05,0.0618076026244101,0.030207600281491907,0.14,0.12372123516629481,0.04601203368806289,0.06285714285714286,0.07065240727325077,0.014285714285714285,1,189,70,551,5328
135,135000,0.01186071407146837,0.026250000000000002,0.031920151562279675,0.013574660633484163,0.01764705882352941,0.01666073626454507,0.012161096458625778,0.024742268041237112,0.02924582104618186,0.0,0,85,97,568,5328
136,136000,0.03026710618008251,0.05714285714285714,0.06523994070555444,0.008928571428571428,0.0071428571428571435,0.006022445303991836,0.02721874407272378,0.05,0.056780298505331214,0.0,0,69,98,584,5328
137,137000,0.06998217282660008,0.035526315789473684,0.06290181076677848,0.043097523314205695,0.1,0.11193867681907073,0.06555063719268892,0.046153846153846156,0.07098481066550796,0.02197802197802198,2,415,91,595,5328
138,138000,0.037314350393935165,0.029411764705882353,0.03948260107951924,0.015740440901731222,0.07142857142857142,0.08285352152402548,0.034263494506148746,0.03535353535353536,0.045615862556520136,0.010101010101010102,1,265,99,611,5328
139,139000,0.03714703329018021,0.034343434343434336,0.045232705790564404,0.11058519793459554,0.04285714285714286,0.06550783323895092,0.046245566962939626,0.035398230088495575,0.04774466848328486,0.008849557522123894,1,136,113,634,5328
140,140000,0.022300426394907112,0.027173913043478267,0.034785836281645686,0.09998103408029879,0.05,0.07211888842209929,0.033808664570520695,0.03055555555555556,0.04031665882097215,0.018518518518518517,2,159,108,652,5328
141,141000,0.05952054064304386,0.055421686746987955,0.06695217818965035,0.10287178379416283,0.05625000000000001,0.09675316449188083,0.06652680216241663,0.05555555555555555,0.07176849920819266,0.010101010101010102,1,154,99,99,5328
142,142000,0.04644783424634195,0.04459459459459459,0.060209704673529034,0.14970558115719407,0.09,0.13432540742272397,0.05874042316430054,0.05,0.06903300261986176,0.011904761904761904,1,119,84,150,5328
143,143000,0.04818097920834848,0.03521126760563382,0.05308732305774233,0.0318140978518337,0.06153846153846154,0.09338744517028469,0.04564800947460214,0.03928571428571429,0.059324246718016754,0.023809523809523808,2,271,84,198,5328
144,144000,0.047835509876835026,0.03561643835616438,0.052838204188292354,0.08143939393939394,0.03888888888888889,0.07545062004886104,0.05448243199909943,0.036263736263736274,0.057310989743130106,0.0,0,82,91,241,5328
145,145000,0.03660626920660436,0.0328125,0.05096329788550395,0.12493224932249324,0.03333333333333334,0.09189292664785577,0.04749577360445367,0.03287671232876712,0.05600941650004048,0.0273972602739726,2,175,73,277,5328
146,146000,0.05914559302964721,0.030107526881720432,0.05617105867661645,0.033965811965811964,0.07200000000000001,0.0768033985949966,0.053810893651716,0.03898305084745763,0.06054231713390038,0.00847457627118644,1,279,118,331,5328
147,147000,0.03498936960492302,0.034722222222222224,0.046870061582199946,0.052845740065937875,0.030000000000000006,0.03733578856284426,0.037166975758705326,0.03414634146341464,0.0457073453603273,0.0,0,182,82,355,5328
148,148000,0.015858250708859385,0.023148148148148154,0.023909223178045044,0.08756613756613756,0.07142857142857142,0.11126342822074145,0.027531627639113973,0.031007751937984496,0.03812967516173981,0.0,0,159,129,385,5328
149,149000,0.03013242133530522,0.016417910447761197,0.020129617213929068,0.037632821723730815,0.09090909090909091,0.1275638450184018,0.031190170108031906,0.026923076923076925,0.03528059805814957,0.02564102564102564,2,182,78,402,5328
150,150000,0.035931732799001984,0.027835051546391754,0.040409331850517496,0.01048951048951049,0.0125,0.01400034759469847,0.03232929424190585,0.025663716814159295,0.03667000664615375,0.008849557522123894,1,69,113,427,5328
